Word	Counts	Cluster
receive	952	17
increase	949	2
established	948	10
respect	933	1
consideration	933	0
body	931	0
believe	931	17
per	931	2
always	930	7
end	930	0
facts	927	5
greater	922	7
left	919	10
rather	918	7
females	918	16
business	916	0
principle	916	0
itself	915	0
hand	914	3
labour	914	2
thought	913	10
special	911	11
trial	907	6
governor	901	11
crimes	895	6
let	889	4
confined	886	10
says	885	4
discharge	882	2
degree	879	0
vice	876	8
daily	874	9
guilty	874	6
food	874	2
conviction	873	6
together	868	1
matter	868	0
further	866	7
sufficient	861	7
service	861	2
annual	860	2
adopted	856	10
god	854	8
prevent	848	17
penitentiaries	847	16
reason	847	0
states	844	16
parents	844	8
causes	843	5
value	840	0
allowed	838	10
statement	837	0
sentenced	836	9
action	834	0
short	830	9
chaplain	828	11
principles	826	5
return	826	17
objects	825	5
places	825	5
operation	824	5
point	823	0
keeper	821	11
doubt	820	0
evils	818	5
secretary	814	11
extent	814	0
useful	809	7
soon	809	7
except	806	4
quite	805	7
benefit	804	0
doesnot	803	4
feel	800	17
third	799	9
evidence	799	0
things	798	5
auburn	798	16
humanity	795	8
individual	794	0
department	794	16
commissioners	791	11
sum	791	2
correction	789	16
appear	788	17
provision	787	0
mode	781	0
indeed	778	7
labors	777	5
views	777	5
passed	777	10
name	775	11
need	775	7
hands	773	3
com	772	11
appears	771	4
fully	770	7
importance	769	0
due	766	7
change	766	0
portion	762	0
appointed	761	10
enough	755	10
kept	755	10
position	752	8
possible	751	7
authority	750	0
month	749	9
disease	748	8
whatever	747	7
article	746	0
visit	742	11
open	741	3
presented	740	10
considered	740	10
towards	739	4
close	736	9
seem	735	17
carried	735	10
exercise	734	8
philadelphia	733	16
similar	731	7
necessity	726	0
expenses	726	2
iam	725	7
united_states	725	16
philanthropist	725	0
honest	725	8
directors	721	11
personal	719	8
supply	719	17
management	717	5
books	716	2
reference	714	1
application	708	0
effects	708	5
judgment	706	0
march	706	9
probably	705	7
obtained	703	10
physical	702	8
industry	702	8
buildings	699	12
ordinary	698	7
massachusetts	696	16
judge	695	11
hours	695	9
proposed	694	10
defendant	692	6
william	689	15
progress	689	5
construction	688	5
private	687	7
according	687	4
single	686	9
particular	686	7
charged	684	1
district	681	16
feet	681	3
mental	677	8
till	677	9
sofar	676	7
land	671	16
keep	671	17
training	670	8
punished	670	10
future	669	8
entirely	667	7
scarcely	666	7
ground	663	0
practical	662	7
lord	657	11
provisions	657	5
admitted	655	10
meet	653	17
rules	652	5
boston	649	16
somuch	649	7
sentences	648	9
late	647	15
woman	647	6
next	647	9
separate_confinement	645	9
unless	645	6
early	641	9
rooms	641	3
escape	641	6
proceedings	640	11
secure	637	17
spirit	634	0
greatly	633	7
look	633	17
human	632	8
latter	632	9
ireland	630	16
opportunity	629	0
asylum	629	16
medical	626	11
felt	624	10
down	624	3
christian	623	8
offender	623	6
suffering	622	8
week	621	9
instances	621	5
light	619	3
didnot	619	4
physician	619	11
book	617	0
idea	617	0
strong	616	7
water	616	3
fine	615	6
solitary	614	9
answer	613	17
purposes	613	5
furnished	612	1
charity	610	0
commonwealth	610	11
require	610	17
desire	608	8
direction	606	0
connected	606	1
regarded	605	10
alone	604	7
heart	604	8
giving	602	4
plans	602	5
insanity	602	6
inquiry	601	0
beyond	600	7
practice	600	0
samuel	596	15
previous	595	9
direct	594	17
section	594	11
working	593	7
attempt	592	0
liberty	591	8
sir	590	15
magistrate	590	6
white	589	3
terms	589	5
example	588	0
miseries	587	8
increased	585	10
benevolent	585	7
formed	585	10
removed	584	10
door	583	3
offenders	582	6
measure	581	0
managers	581	11
obtain	580	17
valuable	579	7
likely	578	7
courts	578	11
provide	577	17
visited	576	10
services	575	2
consequence	575	0
pro	575	7
doing	574	10
principal	573	11
proved	572	10
came	572	4
high	571	7
sometimes	571	7
counties	570	16
ment	566	0
neglect	566	8
considerable	566	7
funds	564	2
advantage	564	0
imprisoned	564	6
took	561	4
length	560	9
mother	558	8
although	557	7
president	557	11
sympathy	557	8
suitable	557	7
subjects	555	5
journal	555	0
sheriff	554	11
