Word	Counts	Cluster
crowd	100	3
johnson	100	15
inevitable	100	7
wrought	100	10
deed	100	6
misfortune	100	8
coarse	100	3
russell	100	15
substance	100	0
killed	100	10
reasonably	100	17
boards	100	16
workhouses	100	16
es	99	16
determination	99	0
integrity	99	8
propensities	99	8
continues	99	4
sole	99	7
patience	99	8
seized	99	10
spoke	99	4
se	99	7
nurse	99	8
preserve	99	17
widely	99	7
injure	99	17
invite	99	17
store	99	3
honesty	99	8
lad	99	3
natives	99	16
coal	99	3
laundry	99	3
creatures	99	8
behind	99	8
juries	99	6
throw	99	17
index	99	19
baby	99	3
earnestness	99	1
protestant	99	16
refuge_union	99	15
principally	98	7
eminent	98	11
adds	98	4
sensible	98	7
gratification	98	8
bears	98	4
severely	98	7
desires	98	8
curious	98	7
cited	98	10
explained	98	10
contractor	98	2
communicate	98	17
diseased	98	3
persuaded	98	10
affording	98	4
stages	98	5
subscribers	98	11
paragraph	98	0
alternative	98	0
incarcerated	98	6
modifications	98	5
noted	98	10
undertaking	98	0
peace_officer	98	6
pious	97	8
ye	97	15
jackson	97	15
occasioned	97	10
laboring	97	8
alive	97	8
area	97	3
companion	97	8
loose	97	3
tive	97	7
please	97	17
distinctly	97	7
unjust	97	7
shillings	97	2
appeals	97	8
corporation	97	11
expose	97	17
originally	97	7
inflict	97	17
controversy	97	0
beer	97	3
respectively	97	9
periodical	97	11
dumb	97	16
plaintiff	97	6
modification	97	0
tory	97	7
forwarded	97	10
employer	97	6
gas	96	3
tears	96	8
opposition	96	0
recovery	96	6
endeavor	96	17
surrounded	96	10
professed	96	4
auxiliary	96	0
knowhow	96	17
feet_high	96	3
mostly	96	3
ac	96	8
intentions	96	8
opposed	96	10
accident	96	6
port	96	16
morally	96	8
understanding	96	0
punishable	96	6
content	96	1
vii	96	19
ours	96	7
hearty	96	8
dwight	95	15
statistical	95	11
happily	95	7
event	95	0
stimulus	95	8
confess	95	17
thence	95	8
mixed	95	3
happens	95	4
soup	95	3
fast	95	3
inform	95	17
peculiarly	95	7
manufacture	95	3
trusted	95	10
cook	95	3
totally	95	7
ance	95	8
orderly	95	8
superintendents	95	11
victim	95	8
transfer	95	17
investigate	95	17
constituted	95	10
inability	95	8
seat	95	11
forthwith	95	6
wait	95	17
surprised	95	10
acquire	95	17
secretaries	95	11
indifference	94	8
ease	94	8
wells	94	15
childhood	94	8
bedford	94	15
pursuit	94	8
implements	94	3
move	94	17
compel	94	17
employing	94	4
anticipated	94	10
administer	94	17
col	94	19
restraints	94	5
introduce	94	17
ultimate	94	7
concern	94	0
deprive	94	17
mouth	94	3
proves	94	4
fellows	94	8
confidently	94	7
sign	94	0
fewer	94	16
innocence	94	6
rendering	94	4
taxes	94	2
namely	94	4
right_hon	94	19
doubtful	93	7
feeble	93	8
preferred	93	10
revenge	93	8
tution	93	0
derive	93	17
erecting	93	2
gray	93	15
ture	93	16
involve	93	17
reputation	93	8
revenue	93	2
embrace	93	17
instructive	93	7
mild	93	7
healthful	93	8
expired	93	9
enactment	93	0
dietary	93	0
referring	93	4
neighbourhood	93	16
preserved	92	10
commend	92	17
am	92	15
restrictions	92	5
wretchedness	92	8
wonderful	92	7
lawrence	92	15
aim	92	0
promised	92	7
enters	92	4
folly	92	8
altered	92	10
weaving	92	3
produces	92	4
aggravated	92	7
feared	92	10
excellency	92	11
offending	92	6
haunts	92	8
charles	92	15
circle	92	8
resolve	92	8
caution	92	0
factory	92	16
farmer	92	15
violated	92	10
corridor	92	3
custom	92	8
sufferers	92	8
talk	92	17
fate	92	8
spite	92	8
advertisements	92	2
ence	91	8
nathaniel	91	15
brothers	91	8
travelling	91	3
extensively	91	7
doubts	91	0
discrimination	91	0
stripes	91	6
wanting	91	7
shoemakers	91	3
almshouse	91	16
activity	91	8
occurrence	91	0
permanently	91	7
repetition	91	6
thinking	91	4
influenced	91	10
punishing	91	6
steadily	91	7
fails	91	4
uniformity	91	0
countenance	91	8
contempt	91	8
justified	91	10
bailed	91	19
settlement	91	6
non	91	7
sisters	91	8
nurses	91	16
restricted	91	7
essay	91	0
elementary	91	7
prize	91	15
wisely	90	7
writes	90	15
inter	90	0
joy	90	8
declare	90	17
inclined	90	10
ble	90	7
ter	90	15
exceedingly	90	7
frame	90	8
behavior	90	8
subscription	90	2
substitute	90	0
forget	90	17
necessities	90	8
albany	90	16
diminishing	90	8
multitude	90	8
supplying	90	4
dignity	90	8
cents_perday	90	2
courses	90	8
penny	90	2
wrongs	90	8
friendless	90	8
suffice	90	17
lectures	90	7
doubted	90	10
fee	90	2
relatives	90	8
candidates	90	2
dear	89	8
gift	89	0
weakness	89	8
preparing	89	4
cheerfully	89	7
excuse	89	0
kindred	89	7
presumed	89	10
northern	89	16
illegal	89	6
complain	89	17
speedily	89	7
fundamental	89	7
circulation	89	0
afternoon	89	9
slightest	89	8
owe	89	17
remedies	89	5
faras_possible	89	7
guards	89	3
holds	89	4
lessen	89	17
meantime	89	7
penal_code	89	5
detailed	89	11
newly	89	7
earning	89	2
trans	89	7
creditable	89	7
public_domain	89	15
mis	88	8
reside	88	16
strengthen	88	17
excessive	88	7
recorder	88	11
erroneous	88	7
uniformly	88	7
moving	88	7
pipes	88	3
stories	88	3
create	88	17
surprising	88	7
file	88	0
inasmuch	88	7
foul	88	3
disregard	88	8
affections	88	8
overcome	88	10
passages	88	5
dormitories	88	3
chandler	88	15
indicted	88	6
represent	88	17
estate	88	6
reckless	88	8
discharges	88	9
withdrawn	88	10
pall_mall	88	15
endure	87	17
birth	87	8
zealous	87	8
pline	87	7
appreciate	87	17
unfavorable	87	7
heating	87	3
satisfactorily	87	7
voluntarily	87	7
mile	87	3
occurs	87	4
replied	87	15
coroner	87	11
using	87	4
break	87	3
dread	87	8
offers	87	4
atmosphere	87	8
meant	87	10
traced	87	10
announced	87	10
conferred	87	10
exactly	87	7
suppression	87	6
bankers	87	15
commutation	87	4
fathers	86	8
investigations	86	5
foot	86	3
defraud	86	6
supper	86	3
reality	86	7
superiority	86	0
schoolroom	86	3
examining	86	11
block	86	16
commonly	86	7
chamber	86	3
chambers	86	15
neighborhood	86	16
conclude	86	17
culture	86	8
serving	86	4
interposition	86	0
tenants	86	16
berks	86	16
selfsupporting	86	7
welcome	85	7
conducting	85	4
alarm	85	0
edition	85	15
height	85	3
alter	85	17
deliberate	85	6
offensive	85	7
eat	85	3
bold	85	8
allparts	85	16
straw	85	3
preference	85	0
adapt	85	17
infirmary	85	3
conference	85	11
railway	85	3
decency	85	8
liberated	85	10
offering	85	4
rs	85	19
enforcing	85	4
count	85	9
augmented	85	10
jurors	85	6
license	85	2
unto	84	15
sincere	84	8
ships	84	16
dwell	84	17
indirectly	84	8
reproach	84	8
breach	84	6
occupying	84	4
souls	84	8
circular	84	11
shoe	84	3
churches	84	16
item	84	0
mechanics	84	16
tends	84	4
respectability	84	8
vary	84	17
manufacturing	84	16
seats	84	3
incapable	84	8
created	84	10
affirmed	84	10
confer	84	17
j	84	15
imagine	84	17
admissions	84	9
payments	84	2
prevalence	84	5
soil	84	3
beggars	84	16
awarded	83	10
fellowmen	83	8
exemplary	83	7
darkness	83	3
ceased	83	10
advancement	83	5
engage	83	17
undertaken	83	10
cover	83	3
cross	83	15
attendant	83	8
dungeon	83	3
picking	83	3
delaware	83	16
legislators	83	5
elaborate	83	11
counterfeiting	83	6
whipping	83	6
christianity	83	8
suicide	83	6
daughters	83	8
prefer	83	17
whereby	83	7
dispositions	83	8
presume	83	17
certainty	83	0
corn	83	3
revolting	83	7
applying	83	4
missionaries	83	16
amend	83	17
prizes	83	2
forfeited	83	10
roman_catholic	83	16
multitudes	82	8
distinguish	82	17
asking	82	4
allude	82	17
burglars	82	6
refers	82	4
calculation	82	0
explain	82	17
manufactured	82	3
multiplied	82	7
depredations	82	6
unfortunately	82	7
inclusive	82	9
pocket	82	3
apprehended	82	10
pa	82	19
varying	82	9
rapid	82	7
perpetual	82	7
awakened	82	10
compare	82	17
touch	82	17
prosecuting	82	11
european	82	16
sureties	82	6
regretted	82	10
civilization	82	8
sorrow	82	8
literature	82	5
sacred	81	8
perseverance	81	8
expressing	81	4
toward	81	4
indian	81	15
gladly	81	17
energies	81	8
talents	81	8
municipal	81	11
conn	81	19
costly	81	7
dry	81	3
mischievous	81	7
allows	81	4
separately	81	9
nursery	81	3
pupil	81	3
rising	81	8
rational	81	7
contracted	81	10
banks	81	11
prejudices	81	8
decide	81	17
remote	81	7
tending	81	7
occupants	81	8
wear	81	3
armed	81	1
juror	81	6
fines	81	6
legally	81	6
glass	81	3
catholic	81	16
disorder	80	8
wrote	80	4
oh	80	15
turning	80	3
contend	80	1
testify	80	17
eligible	80	7
conveyed	80	10
counterfeit	80	6
lock	80	3
negro	80	16
wicked	80	8
knowwhat	80	17
bell	80	3
reflect	80	17
thusfar	80	7
falls	80	4
expectations	80	5
province	80	0
shoemaking	80	3
surface	80	3
excluded	80	10
sworn	80	10
departure	80	0
youths	80	16
rogue	80	6
seriously	80	7
stations	80	16
doctor	80	7
seeks	80	4
civilized	79	7
adams	79	19
newspapers	79	11
sitting	79	3
arose	79	4
successive	79	9
failing	79	8
solid	79	3
cutoff	79	8
strike	79	17
invested	79	2
aside	79	8
shut	79	3
afflicted	79	8
solemn	79	8
incurable	79	7
treating	79	4
supposing	79	4
arm	79	3
essentially	79	7
convey	79	17
idiots	79	16
falling	79	8
organs	79	5
competition	79	1
hulks	79	16
gratified	78	10
generation	78	0
marriage	78	6
describe	78	17
heat	78	3
purity	78	8
soonafter	78	7
authorizing	78	11
restrain	78	17
personally	78	8
strangers	78	8
discussions	78	5
sink	78	3
deserves	78	4
continent	78	16
terror	78	8
fur	78	19
adaptation	78	5
hot	78	3
asso	78	8
extremely	78	7
vessels	78	16
saturday	78	9
humanbeing	78	0
farmers	78	16
reforma	78	16
belongs	78	4
agreeable	78	7
undue	78	7
harmony	78	1
assaults	78	6
adding	78	4
foster	78	15
expediency	78	0
judging	78	4
protracted	78	8
enforcement	78	0
interval	78	9
remission	78	9
wardens	78	11
routine	78	7
duke	78	15
strong_drink	78	8
combine	77	17
dying	77	6
ultimately	77	7
singular	77	7
davis	77	15
badly	77	3
urgent	77	7
vice_presidents	77	11
designs	77	5
allen	77	19
advisable	77	7
inferred	77	10
lines	77	3
neighbors	77	8
shortly	77	7
institute	77	11
vigorous	77	7
threats	77	6
tendencies	77	5
fires	77	3
aldermen	77	11
chronic	77	7
undergoing	77	4
shape	77	8
especial	77	7
cottage	77	3
lordship	77	11
mistress	77	8
lord_mayor	77	11
censure	76	0
thy	76	15
glory	76	8
letme	76	7
spared	76	10
prudence	76	8
embraced	76	10
succeeding	76	9
strengthened	76	10
restrained	76	8
printer	76	15
whence	76	8
leisure	76	8
infamy	76	8
scope	76	0
declaration	76	0
necessaries	76	2
ears	76	3
posed	76	10
incident	76	0
sit	76	3
plainly	76	7
rescued	76	10
keeps	76	4
formal	76	7
arithmetic	76	7
eventhough	76	7
probation	76	9
amelioration	76	0
vengeance	76	6
judiciary	76	11
consciousness	76	8
older	76	16
multiply	76	17
ot	76	8
bart	76	19
playground	76	3
masses	76	8
preceding_article	76	6
prevalent	75	7
consolation	75	8
washed	75	3
anniversary	75	11
washington	75	15
guidance	75	8
gaining	75	4
effecting	75	4
deliver	75	17
feet_wide	75	3
complained	75	4
corrected	75	10
oppression	75	8
pittsburg	75	16
rhode_island	75	15
oversight	75	8
win	75	17
truths	75	5
forcibly	75	7
adverted	75	10
petition	75	11
pity	75	8
retreat	75	15
delicate	75	7
jurisprudence	75	5
glasgow	75	19
thereon	75	11
youthful	75	8
workers	75	3
indiana	75	16
oxford	75	15
catalogue	75	3
struggle	75	8
abundance	75	3
epidemic	75	0
reliable	75	7
infants	75	16
cold_bath	75	16
pointed_out	74	10
abode	74	8
exhibits	74	4
conscientious	74	8
richmond	74	15
prayers	74	8
cattle	74	3
sewing	74	3
dressed	74	3
sides	74	3
lands	74	3
ablebodied	74	16
castle	74	15
dishonest	74	8
outcast	74	8
indebted	74	10
india	74	16
quarter_sessions	74	11
supreme	74	11
preservation	74	8
constable	74	11
wheat	74	3
congregation	74	0
accessible	74	7
taxation	74	2
surveillance	74	7
localities	74	5
liability	73	6
admirably	73	7
preaching	73	8
intimate	73	7
devote	73	17
deserved	73	4
appreciation	73	0
thick	73	3
prin	73	0
approve	73	17
basement	73	3
specimen	73	0
passes	73	4
wealthy	73	8
damp	73	3
insufficient	73	7
adultery	73	19
publish	73	17
architect	73	11
david	73	15
fraudulent	73	6
devise	73	17
repentant	73	8
territory	73	16
glance	73	0
mill	73	3
style	73	0
scientific	73	7
viii	73	19
machine	73	3
susceptible	73	7
assertion	73	0
doctrine	73	0
applicants	73	2
nervous	73	8
accomplishment	72	0
unite	72	17
professor	72	15
beauty	72	8
lecture	72	11
tract	72	15
accom	72	17
sentiments	72	8
type	72	3
gambling	72	6
bribe	72	6
base	72	3
disclosed	72	10
tappan	72	19
stronger	72	7
bench	72	3
schuylkill	72	16
surplus	72	2
pledge	72	8
amusement	72	3
exchange	72	7
running	72	3
francs	72	2
carpenter	72	15
symptoms	72	5
adjudged	72	6
begins	72	4
executing	72	6
scripture	72	8
registered	72	10
appliances	72	5
er	71	15
beneath	71	3
fidelity	71	5
attack	71	0
lent	71	8
le	71	15
york	71	16
signs	71	7
converse	71	1
commis	71	11
inconsistent	71	1
introducing	71	4
pays	71	4
solely	71	7
relied	71	10
setting	71	3
pockets	71	3
transmitted	71	10
inconvenience	71	0
incorporated	71	10
happened	71	10
positions	71	5
advocated	71	10
magistracy	71	0
avail_themselves	71	17
killing	71	6
sheep	71	3
box	71	3
chain	71	3
widows	71	16
inquired	71	10
privation	71	8
summoned	71	10
closing	71	9
pressing	71	8
influential	71	7
outcasts	71	8
reared	71	10
boon	71	0
homeless	71	16
pris	70	16
upright	70	7
illness	70	9
displayed	70	10
precisely	70	7
creature	70	8
succession	70	7
universally	70	7
publicly	70	7
raising	70	3
super	70	11
merchant	70	15
favored	70	1
inside	70	3
liquors	70	2
impunity	70	1
soldier	70	6
apr	70	19
dispose	70	17
reasoning	70	0
cent	70	2
incorrigible	70	7
amply	70	7
obstacles	70	5
ofthe	70	4
incidental	70	7
casual	70	7
formidable	70	7
scotch	70	16
proposes	70	4
grey	70	15
discuss	70	17
wc	70	7
compliance	69	1
attracted	69	10
communities	69	5
protected	69	10
absent	69	10
concur	69	17
ably	69	7
rough	69	3
legislatures	69	11
commonsense	69	7
involving	69	4
comprehensive	69	7
recognize	69	17
tailors	69	3
manage	69	17
boat	69	3
exciting	69	8
heartily	69	7
rose	69	15
hired	69	3
traffic	69	8
neighbor	69	8
chances	69	8
advantageous	69	7
notion	69	0
shorter	69	9
mistaken	69	7
officially	69	11
inevitably	69	8
exempt	69	10
laid_down	69	10
awaiting	69	6
degrading	69	7
regulate	69	4
wounded	69	8
rejected	69	10
termed	69	10
advise	69	17
millbank	69	9
observer	68	0
exceeds	68	4
abundantly	68	7
courage	68	8
bright	68	8
recover	68	17
secular	68	7
expresses	68	4
rum	68	3
discovery	68	0
concurrence	68	11
encounter	68	17
open_air	68	3
covering	68	3
fourths	68	9
gallery	68	3
exercises	68	5
waiting	68	7
addresses	68	11
porter	68	15
conceal	68	17
administering	68	7
hole	68	3
deranged	68	8
nuisance	68	0
suspended	68	10
terminated	68	7
cheaper	68	7
blocks	68	3
offspring	68	8
fortune	68	8
therefrom	68	8
annexed	68	11
vagabond	68	6
termination	68	9
gallons	68	2
impulse	68	0
felonies	68	6
game	68	3
essays	68	5
isolation	68	8
guarantee	68	17
distrust	67	8
dependence	67	8
sincerity	67	8
villains	67	8
wilful	67	6
habitually	67	8
et	67	15
pray	67	15
jailer	67	6
questioned	67	10
deplorable	67	7
wit	67	8
ensuing	67	9
cry	67	3
bonds	67	6
seasons	67	5
enclosed	67	3
feeding	67	2
enemies	67	8
rear	67	3
vital	67	7
fitting	67	4
appreciated	67	10
relapse	67	8
positively	67	7
attendants	67	8
spot	67	3
abused	67	8
constables	67	11
relaxation	67	0
doings	67	11
professions	67	8
lords	67	11
overlooked	67	10
provident	67	16
major	67	15
surrey	67	16
intoxicating_drinks	67	3
join	66	17
elapsed	66	9
writers	66	5
pleasing	66	7
tors	66	11
skin	66	3
print	66	15
inspect	66	11
perkins	66	19
unnatural	66	7
row	66	3
vegetables	66	3
ounces	66	2
pernicious	66	7
au	66	11
cap	66	19
scrutiny	66	0
defray	66	2
repair	66	3
convince	66	17
cashier	66	15
fore	66	7
prudent	66	7
conclusive	66	7
wings	66	3
assistants	66	16
admitting	66	4
ings	66	7
confirm	66	17
conformity	66	1
car	66	3
secondary	66	7
intoxicating_liquors	66	8
score	66	8
obey	66	17
surety	66	6
tained	66	10
gang	66	3
sailors	66	16
ball	66	3
schoolmaster	66	11
tbe	66	19
honorary	66	11
staff	66	2
libel	66	6
lifeboat	66	16
originated	65	10
thou	65	15
tour	65	16
impaired	65	7
await	65	17
respected	65	7
contemplate	65	17
judged	65	10
relieving	65	4
defeated	65	10
evenings	65	9
delinquents	65	16
production	65	8
watchfulness	65	8
wickedness	65	8
accurate	65	7
asserted	65	10
enactments	65	5
delivery	65	11
curse	65	8
consisted	65	4
directions	65	5
knife	65	3
sheriffs	65	11
tenths	65	9
observing	65	7
cha	65	5
qualify	65	17
enemy	65	8
ordinarily	65	7
busy	65	3
mills	65	15
enlarge	65	17
holland	65	15
fortunate	65	7
pressed	65	10
deficient	65	7
divisions	65	5
organ	65	8
accusation	65	6
sundry	65	15
mitted	65	8
draft	65	11
tenant	65	3
cork	65	16
harmless	65	7
lawless	65	8
presided	65	11
morbid	65	8
coloured	65	3
honourable	65	7
talent	64	8
nearest	64	16
beat	64	3
commended	64	10
reliance	64	0
amongus	64	8
prohibited	64	10
endured	64	10
abound	64	8
iniquity	64	8
ingenuity	64	8
proving	64	4
virtues	64	8
legis	64	11
key	64	3
franklin	64	15
top	64	3
additions	64	2
rob	64	19
stubborn	64	7
sets	64	3
outline	64	0
delinquent	64	6
bers	64	11
perfection	64	0
imprison	64	6
ridicule	64	8
boarding	64	16
buy	64	17
genius	64	8
delicacy	64	8
capabilities	64	5
listen	64	17
parliamentary	64	11
educate	63	17
lessened	63	10
forbearance	63	8
journey	63	8
directing	63	4
filth	63	3
favorably	63	7
fellow_citizens	63	8
believing	63	7
obviously	63	7
cir	63	5
laborious	63	7
ers	63	8
elevated	63	7
ebenezer	63	19
intervals	63	9
dirty	63	3
census	63	9
herein	63	6
fellow_creatures	63	8
contemplation	63	0
across	63	3
coast	63	16
horses	63	3
undergone	63	10
timely	63	8
misdemeanors	63	6
whatsoever	63	6
occurring	63	7
enumerated	63	10
quoted	63	10
faults	63	8
torture	63	8
parishes	63	16
architecture	63	5
unitedkingdom	63	16
accompanying	63	11
disturbing	63	7
fraudulently	63	6
infancy	63	8
abolition	63	0
executions	63	9
steward	63	11
wakefield	63	16
job	63	15
involves	63	4
sketch	63	0
harvest	63	7
manager	63	15
juveniles	63	16
dickens	63	15
probationary	63	9
burglar	63	6
antecedents	63	8
deportment	62	8
strongest	62	7
ous	62	8
bibles	62	3
roads	62	3
topic	62	0
differ	62	17
rests	62	4
south_boston	62	16
inspected	62	10
extends	62	7
rags	62	3
bare	62	3
forbidden	62	10
ly	62	8
mates	62	16
maliciously	62	6
neighboring	62	16
portsmouth	62	16
k	62	15
genuine	62	8
harrisburg	62	16
confusion	62	19
fulfil	62	17
impress	62	17
binding	62	3
notions	62	5
guardian	62	8
workshop	62	3
verse	62	7
mechanic	62	15
entertain	62	17
rid	62	8
merchants	62	16
empire	62	16
inhuman	62	7
tolerated	62	10
register	62	11
evidences	62	8
dangers	62	8
stimulate	62	17
unions	62	16
ameliorate	62	17
negligence	61	6
fountain	61	3
mine	61	8
merciful	61	7
woods	61	19
instructors	61	5
blessings	61	8
music	61	3
oil	61	3
estimation	61	8
nativity	61	16
ardent_spirits	61	8
pur	61	7
fresh_air	61	3
circulated	61	10
stores	61	3
honestly	61	8
defeat	61	17
dence	61	8
neatness	61	3
wheel	61	3
columns	61	5
appropriations	61	2
liberally	61	2
collect	61	17
fight	61	6
omitted	61	10
representation	61	0
progressive	61	7
channel	61	8
climate	61	8
handsome	61	3
reclaim	61	17
fancy	61	7
investigated	61	10
analysis	61	0
takecare	61	17
attain	61	17
imposition	61	6
guarded	61	10
destroying	61	3
falsely	61	6
malicious	61	6
bounty	61	2
believes	61	4
wild	61	3
laying	61	3
insolvent	61	6
notorious	61	6
seed	61	8
jailor	61	2
sustaining	61	8
solution	61	0
pencils	61	15
everywhere	61	7
conditional	61	6
cellular_separation	61	7
tor	60	15
exerted	60	10
saviour	60	8
disappointment	60	8
surrender	60	6
isaw	60	4
accuracy	60	1
customary	60	7
independence	60	8
blacks	60	9
plate	60	3
animals	60	3
abovementioned	60	9
vagabonds	60	3
daniel	60	19
bay	60	19
limbs	60	8
worn	60	3
burn	60	3
uncertain	60	7
chester	60	15
thursday	60	9
forged	60	6
adopting	60	4
otherwords	60	7
rightly	60	7
ma	60	19
impracticable	60	7
ipswich	60	19
salem	60	19
floors	60	3
wound	60	8
malady	60	8
dickenson	60	15
dissolute	60	8
requisites	60	5
arch_street	60	16
gets	60	4
procedure	60	0
quietly	60	8
imparted	60	10
interfering	60	1
alas	60	19
emigrants	60	16
etc	60	19
aro	60	19
calamity	59	8
ou	59	15
threatened	59	8
christians	59	8
garments	59	3
goodness	59	8
rely	59	17
prevents	59	4
molasses	59	2
occupies	59	4
vested	59	10
suppress	59	17
fix	59	17
horrible	59	7
indiscriminate	59	8
refor	59	19
mostlikely	59	7
precise	59	7
clerks	59	16
germany	59	16
exclude	59	17
regularity	59	1
withdraw	59	17
definite	59	7
publications	59	5
quarries	59	3
cope	59	19
stopped	59	10
recognizance	59	6
neat	59	3
filed	59	10
correspondent	59	0
maximum	59	9
reaching	59	4
comment	59	0
consigned	59	10
plead	59	17
amended	59	15
aberdeen	59	16
copyright	59	6
havo	59	7
vigor	58	8
affectionate	58	8
fame	58	15
discharging	58	4
esteemed	58	7
diligence	58	8
excellence	58	0
atlantic	58	16
indi	58	19
figure	58	3
galleries	58	3
gallows	58	3
arrive	58	17
indulge	58	17
daring	58	8
impart	58	17
insubordination	58	8
remedied	58	10
reverse	58	7
spectacle	58	0
ton	58	19
cation	58	8
rice	58	3
phila	58	19
boats	58	3
shore	58	3
safekeeping	58	2
populous	58	16
precept	58	8
counteract	58	17
celebrated	58	15
precautions	58	5
philip	58	15
indentured	58	10
tempted	58	10
lodgings	58	3
owes	58	4
elder	58	15
easier	58	7
minimum	58	9
crown	58	19
exposition	58	0
realize	58	17
processes	58	5
prostitutes	58	16
parkhurst	58	16
licences	58	9
superannuation	58	2
submission	57	8
southern	57	16
piety	57	8
lasting	57	8
relate	57	17
sins	57	8
outward	57	8
penitent	57	8
sur	57	19
thrust	57	3
magnitude	57	0
conceived	57	10
flow	57	8
dreadful	57	8
locked_up	57	10
prosecute	57	17
ascertaining	57	4
manufacturers	57	15
miller	57	19
conspiracy	57	6
designated	57	11
capt	57	19
fence	57	3
transported	57	10
taylor	57	19
bent	57	8
stances	57	8
nobody	57	8
medium	57	11
abolish	57	17
conspicuous	57	7
expressly	57	7
parochial	57	7
majesty	57	11
denominations	57	5
ll	57	19
gratify	57	8
pub	57	11
ar	57	19
hesitation	57	0
unworthy	57	7
seamen	57	16
footing	57	0
selves	57	8
philosophy	57	5
forbid	57	17
emotions	57	8
seasonable	57	7
baths	57	16
supporters	57	5
hanbury	57	19
lytle	57	19
persevering	56	7
accounted	56	10
expressions	56	5
autumn	56	9
arrival	56	9
cordial	56	8
sat	56	3
reflections	56	5
gangs	56	16
communicating	56	1
admits	56	4
unoccupied	56	19
illustrations	56	5
confession	56	6
assign	56	17
blame	56	17
stories_high	56	3
deeper	56	8
clark	56	15
survey	56	0
fraction	56	9
stolen_goods	56	6
carpenters	56	3
alexander	56	19
adverse	56	7
news	56	15
physically	56	7
sunk	56	8
project	56	0
viewed	56	10
exert	56	17
shilling	56	2
montgomery	56	15
tabular	56	7
randolph	56	15
fulfilment	56	0
nursing	56	8
appalling	56	7
gurney	56	19
warranted	56	19
broke	56	3
les	56	15
client	56	8
your_obedient	56	15
corporate	56	11
deliberately	56	7
blight	56	15
premium	56	0
smallest	56	7
bathing	56	3
refrain	56	17
characteristics	56	5
lash	56	8
sane	56	10
gifts	56	5
behaviour	56	8
visitations	56	5
cherished	55	7
pursuing	55	8
phillips	55	19
labored	55	8
friday	55	9
inch	55	3
attentive	55	7
classed	55	10
quantities	55	3
manual	55	7
subdued	55	8
lynds	55	15
prosperous	55	7
current_expenses	55	2
hostility	55	8
robbed	55	10
sued	55	6
withheld	55	10
bottom	55	3
halls	55	3
spacious	55	3
feed	55	3
happen	55	17
thereupon	55	11
refuses	55	4
profitably	55	7
seal	55	11
recollection	55	8
chargeable	55	1
spare	55	17
likewise	55	7
leeds	55	15
temperature	55	3
duel	55	6
engine	55	3
constitutional	55	7
cor	55	15
pair	55	3
geo	55	19
frauds	55	6
plunder	55	19
conceded	55	10
embracing	55	4
minority	55	9
revealed	55	10
diffusion	55	0
apprentice	55	6
operative	55	7
attractive	55	7
group	55	3
assuming	55	4
tie	55	19
western_australia	55	16
accomplishing	54	4
invitation	54	11
indulged	54	8
accumulated	54	10
imitation	54	0
invaluable	54	7
frequency	54	8
melancholy	54	7
sales	54	2
fold	54	8
eating	54	3
departed	54	8
mar	54	19
faces	54	8
drive	54	17
denomination	54	0
advert	54	17
declined	54	10
condemnation	54	8
framed	54	7
eventually	54	8
extracted	54	15
horror	54	8
deducting	54	2
regarding	54	4
knowingly	54	6
suffers	54	4
profess	54	17
illinois	54	19
derangement	54	8
consumed	54	2
attainment	54	5
restriction	54	8
redress	54	6
track	54	3
outset	54	7
dren	54	8
instrumental	54	10
prolific	54	7
lottery	54	6
corridors	54	3
councils	54	11
forces	54	4
trees	54	3
hygienic	54	7
disastrous	54	7
hut	54	19
attract	54	17
selfcontrol	54	8
australia	54	16
lombard_street	54	19
shares	54	2
accompany	53	17
drew	53	4
bless	53	17
causing	53	8
emphatically	53	7
approaching	53	8
imagined	53	10
watchful	53	7
warmed	53	3
characteristic	53	7
gather	53	17
converted	53	10
conscious	53	8
peculiarities	53	5
rogers	53	15
edifice	53	3
explanations	53	5
demonstrated	53	10
shutup	53	3
naked	53	3
whipped	53	6
indictments	53	6
cer	53	19
yes	53	15
trace	53	17
sanctioned	53	10
suits	53	5
soundness	53	0
disobedient	53	6
sheet	53	3
factories	53	16
bacon	53	19
sacrificed	53	10
exhibiting	53	7
cultivation	53	8
fitness	53	8
careless	53	8
servitude	53	9
helping	53	8
band	53	3
dressing	53	19
augment	53	7
judiciously	53	7
stringent	53	7
officials	53	11
burt	53	15
annuities	53	2
fruitful	52	7
bore	52	4
ancient	52	7
authors	52	11
failures	52	5
visible	52	7
exercising	52	4
observes	52	4
abandon	52	17
suffolk	52	15
applause	52	19
willingly	52	7
appointing	52	11
grief	52	8
intrusted	52	1
dealers	52	3
disbursements	52	2
column	52	3
impartial	52	0
abstinence	52	8
corps	52	11
artificial	52	7
apprenticed	52	9
concealing	52	19
unreasonable	52	7
misapprehension	52	0
convert	52	17
elevation	52	8
empty	52	3
refractory	52	7
legs	52	3
instantly	52	7
privations	52	8
aims	52	8
warning	52	8
damages	52	6
pillory	52	3
disgraceful	52	7
escaping	52	6
presiding	52	11
accurately	52	7
embraces	52	4
infer	52	17
applicant	52	6
northampton	52	19
bail_bond	52	19
obtains	52	4
beset	52	4
singing	52	8
alms	52	8
gratuitous	52	11
disturbed	52	10
hire	52	3
incidents	52	5
abilities	52	8
thoughtful	52	8
township	52	16
proportionate	52	7
insist	52	17
juvenile_delinquency	52	19
